Core,Year before present,CH4 flux (mols/m2/yr),Peak AOM depth (cm)
GC1045,21,3.674,280
GC1045,20,3.744,270
GC1045,19,3.808,257.5
GC1045,18,3.874,247.5
GC1045,17,3.944,237.5
GC1045,16,4.021,227.5
GC1045,15,4.101,217.5
GC1045,14,4.184,207.5
GC1045,13,4.268,197.5
GC1045,12,4.351,187.5
GC1045,11,4.433,177.5
GC1045,10,4.514,167.5
GC1045,9,4.593,157.5
GC1045,8,4.671,147.5
GC1045,7,4.749,137.5
GC1045,6,4.826,127.5
GC1045,5,4.902,117.5
GC1045,4,4.978,107.5
GC1045,3,5.054,97.5
GC1045,0,5.279,67.5
GC1081,22,2.93,275
GC1081,17,3.253,225
GC1081,12,3.589,175
GC1081,7,3.899,125
GC1081,2,4.207,75
GC1081,1,4.267,65
GC1081,0,4.325,55
GC1081,-1,4.379,45
GC1081,-2,4.43,35