core,depth,core_flowtype,geochem_zone,mcra,aom,dsrab
GC1045,24,inc,lin,66010,0.000025,1366679
GC1045,44,inc,lin,476365,0.073859,283987
GC1045,66,inc,lin,2394342.195,178.630685,238582
GC1045,76,inc,nss,6321656.051,0.227577,95541
GC1045,86,inc,nss,465782.8735,0.000002,39412
GC1048,21,inc,lin,5106,5.13E-07,238257.3179
GC1048,41,inc,lin,23746,3.75E-08,90531.31493
GC1048,61,inc,lin,33028,3.90E-08,74949.18699
GC1048,81,inc,lin,7972,4.84E-08,60457.08212
GC1048,141,inc,lin,7881,1.20E-07,18792.43453
GC1048,161,inc,lin,4122,1.91E-07,58892.81508
GC1048,305,inc,nss,33702762,1.43E+01,12718.02326
GC1068,61,ss,lin,149641,2.37E+00,76816
GC1068,66,ss,lin,264364,5.93E+00,71378
GC1068,71,ss,lin,1238250,1.23E+01,18077
GC1068,76,ss,lin,2656600,1.41E+01,
GC1068,81,ss,lin,1600660,4.41E+00,5776
GC1069,21,ss,lin,16956,8.47E-06,74606.61964
GC1069,41,ss,lin,44663,6.49E-05,29398.46223
GC1069,81,ss,lin,30665,1.90E-01,10490.63912
GC1069,91.5,ss,lin,132530,1.36E+00,34939.75904
GC1069,109,ss,lin,45386,7.65E+00,40090.77156
GC1069,115,ss,lin,444234,1.36E+00,20793.95085
GC1070,12,ss,lin,9969,4.41E-04,121048.1344
GC1070,22,ss,lin,65104,3.49E-03,86805.55556
GC1070,32,ss,lin,11706,2.81E-02,30100.33445
GC1070,42,ss,lin,12191,2.24E-01,
GC1070,52,ss,lin,124922,1.71E+00,
GC1070,56,ss,lin,52283,3.69E+00,
GC1070,63,ss,lin,16958,1.19E+01,7140.307033
GC1070,68,ss,below,26796,1.68E+01,31758.63438
GC1070,72,ss,below,21448,9.53E+00,18874.39945
GC1081,23,inc,nss,17857,0.001795,43233
GC1081,49,inc,nss,7483710,48.064219,182062
GC1081,56.5,inc,below,5628149,106.016986,15743
GC1081,69,inc,below,471536,0.000602,6001.371742