sample_name,core,depth,pingo,SO4_mM,HS_mM,Alk_mM,core_flowtype,geochem_zone,readqualok,stage,Sample_or_Control,quant_reading,extracted_by,mcra,dsrab
EBkati-000.0A,NA,NA,NA,NA,NA,NA,NA,NA,yes,,Control Sample,3,katie,NA,NA
EBstel-000.0A,NA,NA,NA,NA,NA,NA,NA,NA,yes,,Control Sample,5,stella,NA,NA
GC1045-004.0A,GC1045,4,p3,27,0,2,inc,lin,yes,fluxincreasing,True Sample,15.3,katie,20402,20558694
GC1045-024.0A,GC1045,24,p3,25.29,0.29,3.43,inc,lin,yes,fluxincreasing,True Sample,33,stella,66010,1366679
GC1045-044.0A,GC1045,44,p3,24.2,1.06,6.13,inc,lin,yes,fluxincreasing,True Sample,40.8,stella,476365,283987
GC1045-066.0A,GC1045,66,p3,16.37,2.73,14.2,inc,lin,yes,fluxincreasing,True Sample,40.6,stella,2394342.195,238582
GC1045-076.0A,GC1045,76,p3,12.81,3.22,17.29,inc,nss,yes,fluxincreasing,True Sample,38.8,stella,6321656.051,95541
GC1045-086.0A,GC1045,86,p3,9.25,3.71,20.38,inc,nss,yes,fluxincreasing,True Sample,31.6,stella,465782.8735,39412
GC1045-110.0A,GC1045,110,p3,0.71,4.9,27.8,inc,below,yes,fluxincreasing,True Sample,27.8,stella,17361,21930
GC1048-007.5A,GC1048,7.5,reference,27,0,2,inc,lin,yes,steadystate,True Sample,11.3,katie,0,2924456.796
GC1048-021.0A,GC1048,21,reference,25.46025312,0.026652795,2.950093621,inc,lin,yes,steadystate,True Sample,12,katie,5106,238257.3179
GC1048-041.0A,GC1048,41,reference,24.13719335,0.026633411,3.338768651,inc,lin,yes,steadystate,True Sample,8.75,katie,23746,90531.31493
GC1048-061.0A,GC1048,61,reference,22.81413358,0.026614027,3.727443681,inc,lin,yes,steadystate,True Sample,6.56,katie,33028,74949.18699
GC1048-081.0A,GC1048,81,reference,21.80691169,0.022102868,4.116118711,inc,lin,yes,steadystate,True Sample,7.09,katie,7972,60457.08212
GC1048-101.0A,GC1048,101,reference,21.05810259,0.013916621,4.504793741,inc,lin,yes,steadystate,True Sample,13.9,katie,0,15693.23144
GC1048-121.0A,GC1048,121,,,,,,,yes,steadystate,True Sample,21.1,katie,NA,NA
GC1048-141.0A,GC1048,141,reference,19.53786478,0,5.282143802,inc,lin,yes,steadystate,True Sample,10.9,katie,7881,18792.43453
GC1048-161.0A,GC1048,161,reference,18.71365693,0,5.670818832,inc,lin,yes,steadystate,True Sample,8.14,katie,4122,58892.81508
GC1048-181.0A,GC1048,181,reference,17.88944907,0,6.059493862,inc,lin,yes,steadystate,True Sample,4.68,katie,0,26469.03123
GC1048-201.0A,GC1048,201,reference,17.06524122,0,6.448168892,inc,nss,yes,steadystate,True Sample,1.54,stella,0,0
GC1048-260.0A,GC1048,260,reference,9.927841751,0,10.50992144,inc,nss,yes,steadystate,True Sample,1.56,stella,0,0
GC1048-261.0A,GC1048,261,reference,9.801067971,0,10.58235812,inc,nss,yes,steadystate,True Sample,1.39,stella,0,0
GC1048-305.0A,GC1048,305,reference,1.54,0.4,10.58235812,inc,nss,yes,steadystate,True Sample,67.4,stella,33702762,12718.02326
GC1048-305.0B,GC1048,305,,,,,,,no,steadystate,True Sample,67.4,,NA,NA
GC1048-320.0A,GC1048,320,,,,,,,no,steadystate,True Sample,1.1,,NA,NA
GC1068-021.0A,,,,,,,,,yes,,True Sample,17.3,,NA,NA
GC1068-041.0A,,,,,,,,,yes,,True Sample,19.6,,NA,NA
GC1068-061.0A,GC1068,61,p5,13.5,4.11,18.14,ss,lin,yes,steadystate,True Sample,39.4,stella,149641,76816
GC1068-066.0A,GC1068,66,p5,12.06,4.52,19.69,ss,lin,yes,steadystate,True Sample,58,stella,264364,71378
GC1068-071.0A,GC1068,71,p5,10.62,4.92,21.24,ss,lin,yes,steadystate,True Sample,67.2,stella,1238250,18077
GC1068-076.0A,GC1068,76,p5,9.18,5.33,22.8,ss,lin,yes,steadystate,True Sample,76.8,stella,2656600,0
GC1068-081.0A,GC1068,81,p5,7.74,5.73,24.35,ss,lin,yes,steadystate,True Sample,55.6,stella,1600660,5776
GC1068-104.0A,GC1068,104,p5,1.12,7.6,31.49,ss,below,yes,steadystate,True Sample,56.8,stella,538336,22838
GC1068-151.0A,GC1068,151,p5,0.3,6.52,30.81,ss,below,yes,steadystate,True Sample,38.4,stella,36585,52533
GC1068-201.0A,,,,,,,,,,,True Sample,4.48,,NA,NA
GC1068-226.0A,,,,,,,,,yes,,True Sample,2.04,,NA,NA
GC1068-231.0A,GC1068,231,p5,0.356681342,3.973556528,29.00553755,ss,below,yes,steadystate,True Sample,22.8,katie,8573,0
GC1068-235.0A,GC1068,235,p5,0.355730184,3.835968562,28.99279755,ss,below,yes,steadystate,True Sample,8.36,katie,18413,6695.681286
GC1068-255.0A,GC1068,255,p5,0.350974394,3.148028735,28.92909755,ss,below,yes,steadystate,True Sample,2.04,katie,0,4154.795821
GC1068-282.0A,GC1068,282,p5,0.464521971,1.94358772,26.70368334,ss,below,yes,steadystate,True Sample,1.46,katie,0,0
GC1069-021.0A,GC1069,21,p5,25.09782773,1.17396846,6.260632768,ss,lin,yes,steadystate,True Sample,11.5,katie,16956,74606.61964
GC1069-041.0A,GC1069,41,p5,20.76785027,2.85026406,11.848094,ss,lin,yes,steadystate,True Sample,9.38,katie,44663,29398.46223
GC1069-081.0A,GC1069,81,p5,12.18043109,5.772148301,22.20331715,ss,lin,yes,steadystate,True Sample,8.58,katie,30665,10490.63912
GC1069-091.5A,GC1069,91.5,p5,9.97,6.3,24.47,ss,lin,yes,steadystate,True Sample,39.8,stella,132530,34939.75904
GC1069-103.0A,GC1069,103,p5,7.54,6.89,26.96,ss,lin,yes,steadystate,True Sample,53.4,stella,NA,6720.430108
GC1069-109.0A,GC1069,109,p5,6.27,7.19,28.26,ss,lin,yes,steadystate,True Sample,41,stella,45386,40090.77156
GC1069-115.0A,GC1069,115,p5,5.01,7.49,29.56,ss,lin,yes,steadystate,True Sample,36.6,stella,444234,20793.95085
GC1069-131.0A,GC1069,131,p5,1.63,8.31,33.02,ss,lin,yes,steadystate,True Sample,26.6,stella,67078,13596.80928
GC1069-151.0A,GC1069,151,p5,0.35,8.59,34.87,ss,below,yes,steadystate,True Sample,28.8,stella,17606,0
GC1069-176.0A,GC1069,176,p5,0.3,8.54,35.86,ss,below,yes,steadystate,True Sample,24.2,stella,76315,0
GC1069-201.0A,GC1069,201,p5,0.263719852,8.499978028,36.85094788,ss,below,yes,steadystate,True Sample,12.5,katie,108131,0
GC1070-012.0A,GC1070,12,p5,25.34609641,0.595783371,5.333283048,ss,lin,yes,steadystate,True Sample,19.8,katie,9969,121048.1344
GC1070-022.0A,GC1070,22,p5,20.88,1.97,10.52,ss,lin,yes,steadystate,True Sample,26.6,stella,65104,86805.55556
GC1070-032.0A,GC1070,32,p5,16.4108203,3.351287228,15.70378783,ss,lin,yes,steadystate,True Sample,16.5,katie,11706,30100.33445
GC1070-042.0A,GC1070,42,p5,11.94,4.73,20.89,ss,lin,yes,steadystate,True Sample,36.6,stella,12191,0
GC1070-052.0A,GC1070,52,p5,7.48,6.12,26.07,ss,lin,yes,steadystate,True Sample,32.2,stella,124922,0
GC1070-056.0A,GC1070,56,p5,5.69,6.66,28.15,ss,lin,yes,steadystate,True Sample,33.2,stella,52283,0
GC1070-063.0A,GC1070,63,p5,2.56,7.62,31.78,ss,lin,yes,steadystate,True Sample,35.8,stella,16958,7140.307033
GC1070-063.0B,,,,,,,,,no,,True Sample,35.8,,,
GC1070-068.0A,GC1070,68,p5,0.33,8.31,34.37,ss,below,yes,steadystate,True Sample,41.2,stella,26796,31758.63438
GC1070-068.0B,,,,,,,,,no,,True Sample,41.2,,,
GC1070-072.0A,GC1070,72,p5,0.357626516,8.081808666,34.129075,ss,below,yes,steadystate,True Sample,8.21,katie,21448,18874.39945
GC1070-082.0A,GC1070,82,p5,0.433384562,7.508344906,33.52502144,ss,below,yes,steadystate,True Sample,5.53,katie,5251,11251.12511
GC1070-101.0A,GC1070,101,p5,0.577324848,6.418763762,32.37731967,ss,below,yes,steadystate,True Sample,26.8,katie,NA,5315.917375
GC1070-151.0A,GC1070,151,p5,0.77,3.89,30.47,ss,below,yes,steadystate,True Sample,37.6,stella,104267,0
GC1070-201.0A,GC1070,201,p5,0.440040382,2.313008505,31.72429967,ss,below,yes,steadystate,True Sample,2.33,katie,12098,53577.60111
GC1070-251.0A,GC1070,251,p5,0.101803856,1.338948886,30.62069471,ss,below,yes,steadystate,True Sample,6.72,katie,16761,4512.635379
GC1070-311.0A,GC1070,311,p5,0.101803856,1.338948886,30.62069471,ss,below,yes,steadystate,True Sample,19,katie,6650,11254.34827
GC1081-023.0A,GC1081,23,p4,23.93,0.05,5.06,inc,nss,yes,fluxincreasing,True Sample,64.2,stella,17857,43233
GC1081-049.0A,GC1081,49,p4,4.04,1.23,31.6,inc,nss,yes,fluxincreasing,True Sample,56,stella,7483710,182062
GC1081-056.5A,GC1081,56.5,p4,0.63,2.58,25.56,inc,below,yes,fluxincreasing,True Sample,47.2,stella,5628149,15743
GC1081-069.0A,GC1081,69,p4,0.49,1.54,33.8,inc,below,yes,fluxincreasing,True Sample,52.8,stella,471536,6001.371742
GC1081-086.0A,GC1081,86,p4,0.49,3.4898424,38.07431475,inc,below,yes,fluxincreasing,True Sample,42.8,stella,246347,5946.313286
PC1029-001.0A,PC1029,1,p3,28.06,0,2.3,inc,lin,yes,seep,True Sample,37.4,katie,5241,NA
PC1029-002.0A,PC1029,2,p3,27.82289454,0,2.459812237,inc,lin,yes,seep,True Sample,19.5,katie,82234432,14835164.84
PC1029-003.0A,PC1029,3,p3,27.58578908,0,2.619624474,inc,lin,yes,seep,True Sample,27,katie,151443445,8222905.821
PC1029-005.0A,PC1029,5,p3,27.27,0.1,3.1,inc,lin,yes,seep,True Sample,25.4,stella,96022727,1212121
PC1029-007.0A,PC1029,7,p3,27.38,0.2,4.1,inc,lin,yes,seep,True Sample,25.8,stella,74357992,2213491.759
PC1029-009.0A,PC1029,9,p3,26.35,0.95,6.6,inc,lin,yes,seep,True Sample,22,katie,92830009,743906
PC1029-011.0A,PC1029,11,p3,25.32,1.7,9.1,inc,lin,yes,seep,True Sample,27.2,stella,108884688,11814745
PC1029-012.0A,PC1029,12,p3,20.67,3.3,15.15,inc,nss,yes,seep,True Sample,10.6,katie,NA,NA
PC1029-013.0A,PC1029,13,p3,16.02,4.9,21.2,inc,nss,yes,seep,True Sample,34.8,stella,86029660,539265
PC1029-015.0A,PC1029,15,p3,12.22,4.2,25.8,inc,nss,yes,seep,True Sample,46.6,stella,84712111,860357
PC1029-017.0A,PC1029,17,p3,14.67,3.5,21.9,inc,nss,yes,seep,True Sample,50.4,stella,68198666,231653
PC1029-020.0A,PC1029,20,p3,11.58,3.46,29.1,inc,nss,yes,seep,True Sample,44.2,stella,163698127,504958
PC1029-021.0A,PC1029,21,p3,9.41,3.7,34.5,inc,nss,yes,seep,True Sample,51.2,stella,87837838,1104928
PC1029-022.0A,PC1029,22,p3,9.58,4.46,33.16,inc,nss,yes,seep,True Sample,50.2,stella,110400930,1641488
PC1029-023.5A,PC1029,23.5,p3,10.22172382,4.726715397,32.48656223,inc,nss,yes,seep,True Sample,19.4,katie,250987028,3729554