core,depth,value,type
GC1069,5.85E+01,1.22E+01,m
GC1069,5.95E+01,1.19E+01,m
GC1069,6.05E+01,1.17E+01,m
GC1069,6.15E+01,1.14E+01,m
GC1069,6.25E+01,1.11E+01,m
GC1069,6.35E+01,1.09E+01,m
GC1069,6.45E+01,1.06E+01,m
GC1069,6.55E+01,1.03E+01,m
GC1069,6.65E+01,1.01E+01,m
GC1069,6.75E+01,9.78E+00,m
GC1069,6.85E+01,9.52E+00,m
GC1069,6.95E+01,9.25E+00,m
GC1069,7.05E+01,8.98E+00,m
GC1069,7.15E+01,8.71E+00,m
GC1069,7.25E+01,8.45E+00,m
GC1069,7.35E+01,8.18E+00,m
GC1069,7.45E+01,7.91E+00,m
GC1069,7.55E+01,7.64E+00,m
GC1069,7.65E+01,7.38E+00,m
GC1069,7.75E+01,7.11E+00,m
GC1069,7.85E+01,6.84E+00,m
GC1069,7.95E+01,6.57E+00,m
GC1069,8.05E+01,6.31E+00,m
GC1069,8.15E+01,6.04E+00,m
GC1069,8.25E+01,5.77E+00,m
GC1069,8.35E+01,5.51E+00,m
GC1069,8.45E+01,5.24E+00,m
GC1069,8.55E+01,4.98E+00,m
GC1069,8.65E+01,4.71E+00,m
GC1069,8.75E+01,4.45E+00,m
GC1069,8.85E+01,4.19E+00,m
GC1069,8.95E+01,3.93E+00,m
GC1069,9.05E+01,3.67E+00,m
GC1069,9.15E+01,3.41E+00,m
GC1069,9.25E+01,3.16E+00,m
GC1069,9.35E+01,2.91E+00,m
GC1069,9.45E+01,2.66E+00,m
GC1069,9.55E+01,2.42E+00,m
GC1069,9.65E+01,2.18E+00,m
GC1069,9.75E+01,1.95E+00,m
GC1069,9.85E+01,1.72E+00,m
GC1069,9.95E+01,1.51E+00,m
GC1069,1.01E+02,1.30E+00,m
GC1069,1.02E+02,1.11E+00,m
GC1069,1.03E+02,9.32E-01,m
GC1069,1.04E+02,7.67E-01,m
GC1069,1.05E+02,6.19E-01,m
GC1069,1.06E+02,4.89E-01,m
GC1069,1.07E+02,3.77E-01,m
GC1069,1.08E+02,2.83E-01,m
GC1069,1.09E+02,2.08E-01,m
GC1069,1.10E+02,1.48E-01,m
GC1069,1.11E+02,1.04E-01,m
GC1069,1.12E+02,7.06E-02,m
GC1069,1.13E+02,4.72E-02,m
GC1069,1.14E+02,3.10E-02,m
GC1069,1.15E+02,2.00E-02,m
GC1069,1.16E+02,1.28E-02,m
GC1069,1.17E+02,8.06E-03,m
GC1069,1.18E+02,5.06E-03,m
GC1069,1.19E+02,3.17E-03,m
GC1069,1.20E+02,2.00E-03,m
GC1069,1.21E+02,1.27E-03,m
GC1069,1.22E+02,8.32E-04,m
GC1069,1.23E+02,5.64E-04,m
GC1069,1.24E+02,4.02E-04,m
GC1069,1.25E+02,3.03E-04,m
GC1069,1.26E+02,2.42E-04,m
GC1069,1.27E+02,2.04E-04,m
GC1069,1.28E+02,1.80E-04,m
GC1069,1.29E+02,1.63E-04,m
GC1069,1.30E+02,1.52E-04,m
GC1069,1.31E+02,1.43E-04,m
GC1069,1.32E+02,1.36E-04,m
GC1069,1.33E+02,1.30E-04,m
GC1069,1.34E+02,1.25E-04,m
GC1069,1.35E+02,1.20E-04,m
GC1069,1.36E+02,1.16E-04,m
GC1069,1.37E+02,1.12E-04,m
GC1069,1.38E+02,1.09E-04,m
GC1069,1.39E+02,1.05E-04,m
GC1069,1.40E+02,1.02E-04,m
GC1069,1.41E+02,9.92E-05,m
GC1069,1.42E+02,9.64E-05,m
GC1069,1.43E+02,9.38E-05,m
GC1069,1.44E+02,9.13E-05,m
GC1069,1.45E+02,8.89E-05,m
GC1069,1.46E+02,8.66E-05,m
GC1069,1.47E+02,8.45E-05,m
GC1069,1.48E+02,8.24E-05,m
GC1069,1.49E+02,8.05E-05,m
GC1069,1.50E+02,7.86E-05,m
GC1069,1.51E+02,7.68E-05,m
GC1069,1.52E+02,7.51E-05,m
GC1069,1.53E+02,7.35E-05,m
GC1069,1.54E+02,7.19E-05,m
GC1069,1.55E+02,7.04E-05,m
GC1069,1.56E+02,6.90E-05,m
GC1069,1.57E+02,6.76E-05,m
GC1069,1.58E+02,6.63E-05,m
GC1069,1.59E+02,6.50E-05,m
GC1069,1.60E+02,6.37E-05,m
GC1069,1.61E+02,6.25E-05,m
GC1069,1.62E+02,6.14E-05,m
GC1069,1.63E+02,6.03E-05,m
GC1069,1.64E+02,5.92E-05,m
GC1069,1.65E+02,5.82E-05,m
GC1069,1.66E+02,5.72E-05,m
GC1069,1.67E+02,5.62E-05,m
GC1069,1.68E+02,5.52E-05,m
GC1069,1.69E+02,5.43E-05,m
GC1069,1.70E+02,5.35E-05,m
GC1069,1.71E+02,5.26E-05,m
GC1069,1.72E+02,5.18E-05,m
GC1069,1.73E+02,5.10E-05,m
GC1069,1.74E+02,5.02E-05,m
GC1069,1.75E+02,4.94E-05,m
GC1069,1.76E+02,4.87E-05,m
GC1069,1.77E+02,4.80E-05,m
GC1069,1.78E+02,4.73E-05,m
GC1069,1.79E+02,4.66E-05,m
GC1069,1.80E+02,4.59E-05,m
GC1069,1.81E+02,4.53E-05,m
GC1069,1.82E+02,4.47E-05,m
GC1069,1.83E+02,4.41E-05,m
GC1069,1.84E+02,4.35E-05,m
GC1069,1.85E+02,4.29E-05,m
GC1069,1.86E+02,4.23E-05,m
GC1069,1.87E+02,4.18E-05,m
GC1069,1.88E+02,4.13E-05,m
GC1069,1.89E+02,4.07E-05,m
GC1069,1.90E+02,4.02E-05,m
GC1069,1.91E+02,3.97E-05,m
GC1069,1.92E+02,3.92E-05,m
GC1069,1.93E+02,3.88E-05,m
GC1069,1.94E+02,3.83E-05,m
GC1069,1.95E+02,3.79E-05,m
GC1069,1.96E+02,3.74E-05,m
GC1069,1.97E+02,3.70E-05,m
GC1069,1.98E+02,3.66E-05,m
GC1069,1.99E+02,3.61E-05,m
GC1069,2.00E+02,3.57E-05,m
GC1069,2.01E+02,3.53E-05,m
GC1069,2.02E+02,3.49E-05,m
GC1069,2.03E+02,3.46E-05,m
GC1069,2.04E+02,3.42E-05,m
GC1069,2.05E+02,3.38E-05,m
GC1069,2.06E+02,3.35E-05,m
GC1069,2.07E+02,3.31E-05,m
GC1069,2.08E+02,3.28E-05,m
GC1069,2.09E+02,3.24E-05,m
GC1069,2.10E+02,3.21E-05,m
GC1069,2.11E+02,3.18E-05,m
GC1069,2.12E+02,3.15E-05,m
GC1069,2.13E+02,3.12E-05,m
GC1069,2.14E+02,3.09E-05,m
GC1069,2.15E+02,3.06E-05,m
GC1069,2.16E+02,3.03E-05,m
GC1069,2.17E+02,3.00E-05,m
GC1069,2.18E+02,2.97E-05,m
GC1069,2.19E+02,2.94E-05,m
GC1069,2.20E+02,2.92E-05,m
GC1069,2.21E+02,2.89E-05,m
GC1069,2.22E+02,2.86E-05,m
GC1069,2.23E+02,2.84E-05,m
GC1069,2.24E+02,2.81E-05,m
GC1069,2.25E+02,2.79E-05,m
GC1069,2.26E+02,2.76E-05,m
GC1069,2.27E+02,2.74E-05,m
GC1069,2.28E+02,2.71E-05,m
GC1069,2.29E+02,2.69E-05,m
GC1069,2.30E+02,2.67E-05,m
GC1069,2.31E+02,2.65E-05,m
GC1069,2.32E+02,2.62E-05,m
GC1069,2.33E+02,2.60E-05,m
GC1069,2.34E+02,2.58E-05,m
GC1069,2.35E+02,2.56E-05,m
GC1069,2.36E+02,2.54E-05,m
GC1069,2.37E+02,2.52E-05,m
GC1069,2.38E+02,2.50E-05,m
GC1069,2.39E+02,2.48E-05,m
GC1069,2.40E+02,2.46E-05,m
GC1069,2.41E+02,2.44E-05,m
GC1069,2.42E+02,2.42E-05,m
GC1069,2.43E+02,2.40E-05,m
GC1069,2.44E+02,2.38E-05,m
GC1069,2.45E+02,2.37E-05,m
GC1069,2.46E+02,2.35E-05,m
GC1069,2.47E+02,2.33E-05,m
GC1069,2.48E+02,2.31E-05,m
GC1069,2.49E+02,2.30E-05,m
GC1069,2.50E+02,2.28E-05,m
GC1069,2.51E+02,2.26E-05,m
GC1069,2.52E+02,2.25E-05,m
GC1069,2.53E+02,2.23E-05,m
GC1069,2.54E+02,2.22E-05,m
GC1069,2.55E+02,2.20E-05,m
GC1069,2.56E+02,2.19E-05,m
GC1069,2.57E+02,2.17E-05,m
GC1069,2.58E+02,2.16E-05,m
GC1069,2.59E+02,2.14E-05,m
GC1069,2.60E+02,2.13E-05,m
GC1069,2.61E+02,2.11E-05,m
GC1069,2.62E+02,2.10E-05,m
GC1069,2.63E+02,2.08E-05,m
GC1069,2.64E+02,2.07E-05,m
GC1069,2.65E+02,2.06E-05,m
GC1069,2.66E+02,2.04E-05,m
GC1069,2.67E+02,2.03E-05,m
GC1069,2.68E+02,2.02E-05,m
GC1069,2.69E+02,2.00E-05,m
GC1069,2.70E+02,1.99E-05,m
GC1069,2.71E+02,1.98E-05,m
GC1069,2.72E+02,1.97E-05,m
GC1069,2.73E+02,1.96E-05,m
GC1069,2.74E+02,1.94E-05,m
GC1069,2.75E+02,1.93E-05,m
GC1069,2.76E+02,1.92E-05,m
GC1069,2.77E+02,1.91E-05,m
GC1069,2.78E+02,1.90E-05,m
GC1069,2.79E+02,1.89E-05,m
GC1069,2.80E+02,1.87E-05,m
GC1069,2.81E+02,1.86E-05,m
GC1069,2.82E+02,1.85E-05,m
GC1069,2.83E+02,1.84E-05,m
GC1069,2.84E+02,1.83E-05,m
GC1069,2.85E+02,1.82E-05,m
GC1069,2.86E+02,1.81E-05,m
GC1069,2.87E+02,1.80E-05,m
GC1069,2.88E+02,1.79E-05,m
GC1069,2.89E+02,1.78E-05,m
GC1069,2.90E+02,1.77E-05,m
GC1069,2.91E+02,1.76E-05,m
GC1069,2.92E+02,1.75E-05,m
GC1069,2.93E+02,1.74E-05,m
GC1069,2.94E+02,1.73E-05,m
GC1069,2.95E+02,1.72E-05,m
GC1069,2.96E+02,1.71E-05,m
GC1069,2.97E+02,1.71E-05,m
GC1069,2.98E+02,1.70E-05,m
GC1069,2.99E+02,1.69E-05,m
GC1069,3.00E+02,1.68E-05,m
GC1069,3.01E+02,1.67E-05,m
GC1069,3.02E+02,1.66E-05,m
GC1069,3.03E+02,1.65E-05,m
GC1069,3.04E+02,1.65E-05,m
GC1069,3.05E+02,1.64E-05,m
GC1069,3.06E+02,1.63E-05,m
GC1069,3.07E+02,1.62E-05,m
GC1069,3.08E+02,1.62E-05,m
GC1070,8,27.13,e
GC1070,38,11.86,e
GC1070,68,0.33,e
GC1070,108,0.67,e
GC1070,138,0.86,e
GC1070,173,0.35,e
GC1070,208,0.39,e
GC1070,5.00E-01,2.75E+01,m
GC1070,1.50E+00,2.71E+01,m
GC1070,2.50E+00,2.67E+01,m
GC1070,3.50E+00,2.62E+01,m
GC1070,4.50E+00,2.58E+01,m
GC1070,5.50E+00,2.54E+01,m
GC1070,6.50E+00,2.50E+01,m
GC1070,7.50E+00,2.46E+01,m
GC1070,8.50E+00,2.41E+01,m
GC1070,9.50E+00,2.37E+01,m
GC1070,1.05E+01,2.33E+01,m
GC1070,1.15E+01,2.29E+01,m
GC1070,1.25E+01,2.25E+01,m
GC1070,1.35E+01,2.20E+01,m
GC1070,1.45E+01,2.16E+01,m
GC1070,1.55E+01,2.12E+01,m
GC1070,1.65E+01,2.08E+01,m
GC1070,1.75E+01,2.04E+01,m
GC1070,1.85E+01,1.99E+01,m
GC1070,1.95E+01,1.95E+01,m
GC1070,2.05E+01,1.91E+01,m
GC1070,2.15E+01,1.87E+01,m
GC1070,2.25E+01,1.83E+01,m
GC1070,2.35E+01,1.78E+01,m
GC1070,2.45E+01,1.74E+01,m
GC1070,2.55E+01,1.70E+01,m
GC1070,2.65E+01,1.66E+01,m
GC1070,2.75E+01,1.62E+01,m
GC1070,2.85E+01,1.57E+01,m
GC1070,2.95E+01,1.53E+01,m
GC1070,3.05E+01,1.49E+01,m
GC1070,3.15E+01,1.45E+01,m
GC1070,3.25E+01,1.41E+01,m
GC1070,3.35E+01,1.36E+01,m
GC1070,3.45E+01,1.32E+01,m
GC1070,3.55E+01,1.28E+01,m
GC1070,3.65E+01,1.24E+01,m
GC1070,3.75E+01,1.19E+01,m
GC1070,3.85E+01,1.15E+01,m
GC1070,3.95E+01,1.11E+01,m
GC1070,4.05E+01,1.07E+01,m
GC1070,4.15E+01,1.03E+01,m
GC1070,4.25E+01,9.84E+00,m
GC1070,4.35E+01,9.42E+00,m
GC1070,4.45E+01,9.00E+00,m
GC1070,4.55E+01,8.58E+00,m
GC1070,4.65E+01,8.16E+00,m
GC1070,4.75E+01,7.75E+00,m
GC1070,4.85E+01,7.33E+00,m
GC1070,4.95E+01,6.91E+00,m
GC1070,5.05E+01,6.50E+00,m
GC1070,5.15E+01,6.09E+00,m
GC1070,5.25E+01,5.68E+00,m
GC1070,5.35E+01,5.27E+00,m
GC1070,5.45E+01,4.87E+00,m
GC1070,5.55E+01,4.47E+00,m
GC1070,5.65E+01,4.08E+00,m
GC1070,5.75E+01,3.70E+00,m
GC1070,5.85E+01,3.32E+00,m
GC1070,5.95E+01,2.95E+00,m
GC1070,6.05E+01,2.60E+00,m
GC1070,6.15E+01,2.26E+00,m
GC1070,6.25E+01,1.93E+00,m
GC1070,6.35E+01,1.63E+00,m
GC1070,6.45E+01,1.34E+00,m
GC1070,6.55E+01,1.09E+00,m
GC1070,6.65E+01,8.56E-01,m
GC1070,6.75E+01,6.56E-01,m
GC1070,6.85E+01,4.87E-01,m
GC1070,6.95E+01,3.51E-01,m
GC1070,7.05E+01,2.44E-01,m
GC1070,7.15E+01,1.64E-01,m
GC1070,7.25E+01,1.07E-01,m
GC1070,7.35E+01,6.81E-02,m
GC1070,7.45E+01,4.22E-02,m
GC1070,7.55E+01,2.57E-02,m
GC1070,7.65E+01,1.54E-02,m
GC1070,7.75E+01,9.07E-03,m
GC1070,7.85E+01,5.31E-03,m
GC1070,7.95E+01,3.10E-03,m
GC1070,8.05E+01,1.81E-03,m
GC1070,8.15E+01,1.08E-03,m
GC1070,8.25E+01,6.56E-04,m
GC1070,8.35E+01,4.18E-04,m
GC1070,8.45E+01,2.83E-04,m
GC1070,8.55E+01,2.07E-04,m
GC1070,8.65E+01,1.62E-04,m
GC1070,8.75E+01,1.36E-04,m
GC1070,8.85E+01,1.20E-04,m
GC1070,8.95E+01,1.09E-04,m
GC1070,9.05E+01,1.02E-04,m
GC1070,9.15E+01,9.63E-05,m
GC1070,9.25E+01,9.17E-05,m
GC1070,9.35E+01,8.78E-05,m
GC1070,9.45E+01,8.44E-05,m
GC1070,9.55E+01,8.13E-05,m
GC1070,9.65E+01,7.84E-05,m
GC1070,9.75E+01,7.58E-05,m
GC1070,9.85E+01,7.33E-05,m
GC1070,9.95E+01,7.10E-05,m
GC1070,1.01E+02,6.89E-05,m
GC1070,1.02E+02,6.68E-05,m
GC1070,1.03E+02,6.49E-05,m
GC1070,1.04E+02,6.31E-05,m
GC1070,1.05E+02,6.13E-05,m
GC1070,1.06E+02,5.97E-05,m
GC1070,1.07E+02,5.82E-05,m
GC1070,1.08E+02,5.67E-05,m
GC1070,1.09E+02,5.53E-05,m
GC1070,1.10E+02,5.39E-05,m
GC1070,1.11E+02,5.26E-05,m
GC1070,1.12E+02,5.14E-05,m
GC1070,1.13E+02,5.02E-05,m
GC1070,1.14E+02,4.91E-05,m
GC1070,1.15E+02,4.80E-05,m
GC1070,1.16E+02,4.70E-05,m
GC1070,1.17E+02,4.60E-05,m
GC1070,1.18E+02,4.51E-05,m
GC1070,1.19E+02,4.41E-05,m
GC1070,1.20E+02,4.33E-05,m
GC1070,1.21E+02,4.24E-05,m
GC1070,1.22E+02,4.16E-05,m
GC1070,1.23E+02,4.08E-05,m
GC1070,1.24E+02,4.01E-05,m
GC1070,1.25E+02,3.93E-05,m
GC1070,1.26E+02,3.86E-05,m
GC1070,1.27E+02,3.79E-05,m
GC1070,1.28E+02,3.73E-05,m
GC1070,1.29E+02,3.66E-05,m
GC1070,1.30E+02,3.60E-05,m
GC1070,1.31E+02,3.54E-05,m
GC1070,1.32E+02,3.48E-05,m
GC1070,1.33E+02,3.43E-05,m
GC1070,1.34E+02,3.37E-05,m
GC1070,1.35E+02,3.32E-05,m
GC1070,1.36E+02,3.27E-05,m
GC1070,1.37E+02,3.22E-05,m
GC1070,1.38E+02,3.17E-05,m
GC1070,1.39E+02,3.12E-05,m
GC1070,1.40E+02,3.07E-05,m
GC1070,1.41E+02,3.03E-05,m
GC1070,1.42E+02,2.99E-05,m
GC1070,1.43E+02,2.94E-05,m
GC1070,1.44E+02,2.90E-05,m
GC1070,1.45E+02,2.86E-05,m
GC1070,1.46E+02,2.82E-05,m
GC1070,1.47E+02,2.79E-05,m
GC1070,1.48E+02,2.75E-05,m
GC1070,1.49E+02,2.71E-05,m
GC1070,1.50E+02,2.68E-05,m
GC1070,1.51E+02,2.64E-05,m
GC1070,1.52E+02,2.61E-05,m
GC1070,1.53E+02,2.58E-05,m
GC1070,1.54E+02,2.54E-05,m
GC1070,1.55E+02,2.51E-05,m
GC1070,1.56E+02,2.48E-05,m
GC1070,1.57E+02,2.45E-05,m
GC1070,1.58E+02,2.42E-05,m
GC1070,1.59E+02,2.39E-05,m
GC1070,1.60E+02,2.37E-05,m
GC1070,1.61E+02,2.34E-05,m
GC1070,1.62E+02,2.31E-05,m
GC1070,1.63E+02,2.29E-05,m
GC1070,1.64E+02,2.26E-05,m
GC1070,1.65E+02,2.24E-05,m
GC1070,1.66E+02,2.21E-05,m
GC1070,1.67E+02,2.19E-05,m
GC1070,1.68E+02,2.16E-05,m
GC1070,1.69E+02,2.14E-05,m
GC1070,1.70E+02,2.12E-05,m
GC1070,1.71E+02,2.10E-05,m
GC1070,1.72E+02,2.07E-05,m
GC1070,1.73E+02,2.05E-05,m
GC1070,1.74E+02,2.03E-05,m
GC1070,1.75E+02,2.01E-05,m
GC1070,1.76E+02,1.99E-05,m
GC1070,1.77E+02,1.97E-05,m
GC1070,1.78E+02,1.95E-05,m
GC1070,1.79E+02,1.93E-05,m
GC1070,1.80E+02,1.91E-05,m
GC1070,1.81E+02,1.90E-05,m
GC1070,1.82E+02,1.88E-05,m
GC1070,1.83E+02,1.86E-05,m
GC1070,1.84E+02,1.84E-05,m
GC1070,1.85E+02,1.83E-05,m
GC1070,1.86E+02,1.81E-05,m
GC1070,1.87E+02,1.79E-05,m
GC1070,1.88E+02,1.78E-05,m
GC1070,1.89E+02,1.76E-05,m
GC1070,1.90E+02,1.75E-05,m
GC1070,1.91E+02,1.73E-05,m
GC1070,1.92E+02,1.72E-05,m
GC1070,1.93E+02,1.70E-05,m
GC1070,1.94E+02,1.69E-05,m
GC1070,1.95E+02,1.67E-05,m
GC1070,1.96E+02,1.66E-05,m
GC1070,1.97E+02,1.64E-05,m
GC1070,1.98E+02,1.63E-05,m
GC1070,1.99E+02,1.62E-05,m
GC1070,2.00E+02,1.60E-05,m
GC1070,2.01E+02,1.59E-05,m
GC1070,2.02E+02,1.58E-05,m
GC1070,2.03E+02,1.56E-05,m
GC1070,2.04E+02,1.55E-05,m
GC1070,2.05E+02,1.54E-05,m
GC1070,2.06E+02,1.53E-05,m
GC1070,2.07E+02,1.52E-05,m
GC1070,2.08E+02,1.50E-05,m
GC1070,2.09E+02,1.49E-05,m
GC1070,2.10E+02,1.48E-05,m
GC1070,2.11E+02,1.47E-05,m
GC1070,2.12E+02,1.46E-05,m
GC1070,2.13E+02,1.45E-05,m
GC1070,2.14E+02,1.44E-05,m
GC1070,2.15E+02,1.43E-05,m
GC1070,2.16E+02,1.42E-05,m
GC1070,2.17E+02,1.41E-05,m
GC1070,2.18E+02,1.40E-05,m
GC1070,2.19E+02,1.39E-05,m
GC1070,2.20E+02,1.38E-05,m
GC1070,2.21E+02,1.37E-05,m
GC1070,2.22E+02,1.36E-05,m
GC1070,2.23E+02,1.35E-05,m
GC1070,2.24E+02,1.34E-05,m
GC1070,2.25E+02,1.33E-05,m
GC1070,2.26E+02,1.32E-05,m
GC1070,2.27E+02,1.31E-05,m
GC1070,2.28E+02,1.30E-05,m
GC1070,2.29E+02,1.29E-05,m
GC1070,2.30E+02,1.29E-05,m
GC1070,2.31E+02,1.28E-05,m
GC1070,2.32E+02,1.27E-05,m
GC1070,2.33E+02,1.26E-05,m
GC1070,2.34E+02,1.25E-05,m
GC1070,2.35E+02,1.24E-05,m
GC1070,2.36E+02,1.24E-05,m
GC1070,2.37E+02,1.23E-05,m
GC1070,2.38E+02,1.22E-05,m
GC1070,2.39E+02,1.21E-05,m
GC1070,2.40E+02,1.21E-05,m
GC1070,2.41E+02,1.20E-05,m
GC1070,2.42E+02,1.19E-05,m
GC1070,2.43E+02,1.18E-05,m
GC1070,2.44E+02,1.18E-05,m
GC1070,2.45E+02,1.17E-05,m
GC1070,2.46E+02,1.16E-05,m
GC1070,2.47E+02,1.16E-05,m
GC1070,2.48E+02,1.15E-05,m
GC1070,2.49E+02,1.14E-05,m
GC1070,2.50E+02,1.14E-05,m
GC1070,2.51E+02,1.13E-05,m
GC1070,2.52E+02,1.12E-05,m
GC1070,2.53E+02,1.12E-05,m
GC1070,2.54E+02,1.11E-05,m
GC1070,2.55E+02,1.10E-05,m
GC1070,2.56E+02,1.10E-05,m
GC1070,2.57E+02,1.09E-05,m
GC1070,2.58E+02,1.09E-05,m
GC1070,2.59E+02,1.08E-05,m
GC1070,2.60E+02,1.07E-05,m
GC1070,2.61E+02,1.07E-05,m
GC1070,2.62E+02,1.06E-05,m
GC1070,2.63E+02,1.06E-05,m
GC1070,2.64E+02,1.05E-05,m
GC1070,2.65E+02,1.04E-05,m
GC1070,2.66E+02,1.04E-05,m
GC1070,2.67E+02,1.03E-05,m
GC1070,2.68E+02,1.03E-05,m
GC1070,2.69E+02,1.02E-05,m
GC1070,2.70E+02,1.02E-05,m
GC1070,2.71E+02,1.01E-05,m
GC1070,2.72E+02,1.01E-05,m
GC1070,2.73E+02,1.00E-05,m
GC1070,2.74E+02,9.97E-06,m
GC1070,2.75E+02,9.92E-06,m
GC1070,2.76E+02,9.87E-06,m
GC1070,2.77E+02,9.82E-06,m
GC1070,2.78E+02,9.78E-06,m
GC1070,2.79E+02,9.73E-06,m
GC1070,2.80E+02,9.68E-06,m
GC1070,2.81E+02,9.63E-06,m
GC1070,2.82E+02,9.59E-06,m
GC1070,2.83E+02,9.54E-06,m
GC1070,2.84E+02,9.50E-06,m
GC1070,2.85E+02,9.45E-06,m
GC1070,2.86E+02,9.41E-06,m
GC1070,2.87E+02,9.36E-06,m
GC1070,2.88E+02,9.32E-06,m
GC1070,2.89E+02,9.28E-06,m
GC1070,2.90E+02,9.23E-06,m
GC1070,2.91E+02,9.19E-06,m
GC1070,2.92E+02,9.15E-06,m
GC1070,2.93E+02,9.11E-06,m
GC1070,2.94E+02,9.07E-06,m
GC1070,2.95E+02,9.03E-06,m
GC1070,2.96E+02,8.99E-06,m
GC1070,2.97E+02,8.95E-06,m
GC1070,2.98E+02,8.91E-06,m
GC1070,2.99E+02,8.87E-06,m
GC1070,3.00E+02,8.83E-06,m
GC1070,3.01E+02,8.79E-06,m
GC1070,3.02E+02,8.76E-06,m
GC1070,3.03E+02,8.72E-06,m
GC1070,3.04E+02,8.68E-06,m
GC1070,3.05E+02,8.65E-06,m
GC1070,3.06E+02,8.61E-06,m
GC1070,3.07E+02,8.58E-06,m
GC1070,3.08E+02,8.56E-06,m
GC1081,0,22.911,m
GC1081,0.025,22.821,m
GC1081,0.05,22.729,m
GC1081,0.075,22.635,m
GC1081,0.1,22.536,m
GC1081,0.125,22.431,m
GC1081,0.15,22.317,m
GC1081,0.175,22.19,m
GC1081,0.2,22.044,m
GC1081,0.225,21.871,m
GC1081,0.25,21.66,m
GC1081,0.275,21.395,m
GC1081,0.3,21.051,m
GC1081,0.325,20.596,m
GC1081,0.35,19.983,m
GC1081,0.375,19.147,m
GC1081,0.4,17.999,m
GC1081,0.425,16.421,m
GC1081,0.45,14.275,m
GC1081,0.475,11.436,m
GC1081,0.5,7.9056,m
GC1081,0.525,4.0732,m
GC1081,0.55,1.0464,m
GC1081,0.575,0.094708,m
GC1081,0.6,0.0063467,m
GC1081,0.625,0.00038776,m
GC1081,0.65,2.25E-05,m
GC1081,0.675,1.26E-06,m
GC1081,0.7,6.93E-08,m
GC1081,0.725,3.73E-09,m
GC1081,0.75,1.98E-10,m
GC1081,0.775,1.04E-11,m
GC1081,0.8,5.45E-13,m
GC1081,0.825,2.81E-14,m
GC1081,0.85,1.45E-15,m
GC1081,0.875,8.14E-17,m
GC1081,0.9,3.50E-18,m
GC1081,0.925,0.00E+00,m
GC1081,0.95,7.50E-19,m
GC1081,0.975,0.00E+00,m
GC1081,1,0.00E+00,m
GC1081,0.06,22.62560437,e
GC1081,0.17,23.20251129,e
GC1081,0.37,25.61760623,e
GC1081,0.47,9.488659334,e
GC1081,0.57,0.395134609,e
GC1081,0.7,0.497044947,e
GC1045,0.1,24.99,e
GC1045,0.25,26.19,e
GC1045,0.4,25.63,e
GC1045,0.54,20.64,e
GC1045,0.8,1.18,e
GC1045,1.1,0.71,e
GC1045,0,28.494,m
GC1045,0.025,28.389,m
GC1045,0.05,28.283,m
GC1045,0.075,28.176,m
GC1045,0.1,28.068,m
GC1045,0.125,27.959,m
GC1045,0.15,27.849,m
GC1045,0.175,27.735,m
GC1045,0.2,27.618,m
GC1045,0.225,27.495,m
GC1045,0.25,27.364,m
GC1045,0.275,27.221,m
GC1045,0.3,27.062,m
GC1045,0.325,26.879,m
GC1045,0.35,26.662,m
GC1045,0.375,26.397,m
GC1045,0.4,26.064,m
GC1045,0.425,25.631,m
GC1045,0.45,25.059,m
GC1045,0.475,24.288,m
GC1045,0.5,23.235,m
GC1045,0.525,21.79,m
GC1045,0.55,19.806,m
GC1045,0.575,17.115,m
GC1045,0.6,13.577,m
GC1045,0.625,9.2305,m
GC1045,0.65,4.6215,m
GC1045,0.675,1.1169,m
GC1045,0.7,0.093469,m
GC1045,0.725,0.0059463,m
GC1045,0.75,0.00035035,m
GC1045,0.775,1.98E-05,m
GC1045,0.8,1.09E-06,m
GC1045,0.825,5.88E-08,m
GC1045,0.85,3.13E-09,m
GC1045,0.875,1.64E-10,m
GC1045,0.9,8.58E-12,m
GC1045,0.925,4.45E-13,m
GC1045,0.95,2.30E-14,m
GC1045,0.975,1.18E-15,m
GC1045,1,6.04E-17,m