core,depth,species,value,smt,stage
PC1029,0,alkalinity (mM),2.324356719,,seep
PC1029,1,alkalinity (mM),2.257843,,seep
PC1029,3,alkalinity (mM),2.619624474,,seep
PC1029,5,alkalinity (mM),3.100095595,,seep
PC1029,7,alkalinity (mM),4.130728965,,seep
PC1029,9,alkalinity (mM),4.645199131,,seep
PC1029,11,alkalinity (mM),9.116310234,,seep
PC1029,13,alkalinity (mM),21.17045023,,seep
PC1029,15,alkalinity (mM),25.79023471,,seep
PC1029,17,alkalinity (mM),21.91319566,,seep
PC1029,19,alkalinity (mM),23.69248531,,seep
PC1029,21,alkalinity (mM),34.50753559,,seep
PC1029,23,alkalinity (mM),31.81290444,,seep
PC1029,25,alkalinity (mM),34.50753559,,seep
PC1029,27,alkalinity (mM),27.79617232,,seep
PC1029,0,sulfate (mM),27.02406146,,seep
PC1029,1,sulfate (mM),28.06296048,,seep
PC1029,3,sulfate (mM),27.58578908,,seep
PC1029,5,sulfate (mM),27.27497977,,seep
PC1029,7,sulfate (mM),27.37759444,,seep
PC1029,9,sulfate (mM),27.25958757,,seep
PC1029,11,sulfate (mM),25.32427486,,seep
PC1029,13,sulfate (mM),16.01632916,,seep
PC1029,15,sulfate (mM),12.21948339,,seep
PC1029,17,sulfate (mM),14.67366232,,seep
PC1029,19,sulfate (mM),13.73857467,,seep
PC1029,21,sulfate (mM),9.41241697,,seep
PC1029,23,sulfate (mM),9.739065217,,seep
PC1029,25,sulfate (mM),11.66969963,,seep
PC1029,27,sulfate (mM),13.01093851,,seep
PC1029,0,sulfide (mM),0.030217984,,seep
PC1029,1,sulfide (mM),0,,seep
PC1029,3,sulfide (mM),0.030325696,,seep
PC1029,5,sulfide (mM),0.100831539,,seep
PC1029,7,sulfide (mM),0.15814182,,seep
PC1029,9,sulfide (mM),0.588503076,,seep
PC1029,11,sulfide (mM),1.665688364,,seep
PC1029,13,sulfide (mM),4.920514086,,seep
PC1029,15,sulfide (mM),4.213831504,,seep
PC1029,17,sulfide (mM),3.543304624,,seep
PC1029,19,sulfide (mM),3.1720565,,seep
PC1029,21,sulfide (mM),3.743601952,,seep
PC1029,23,sulfide (mM),5.17542438,,seep
PC1029,25,sulfide (mM),3.380588448,,seep
PC1029,27,sulfide (mM),1.081929936,,seep
PC1029,1,methane (mM),0.059951254,,seep
PC1029,4,methane (mM),0.201800606,,seep
PC1029,9.5,methane (mM),0.202506196,,seep
PC1029,11.5,methane (mM),1.699110949,,seep
PC1029,14.5,methane (mM),12.57523951,,seep
PC1029,16.5,methane (mM),4.288396761,,seep
PC1029,18.5,methane (mM),4.533723572,,seep
PC1029,21.5,methane (mM),2.184256177,,seep
GC1081,6,alkalinity (mM),5.4,56.0,inc
GC1081,17,alkalinity (mM),5.3,56.0,inc
GC1081,27,alkalinity (mM),4.9,56.0,inc
GC1081,37,alkalinity (mM),7.4,56.0,inc
GC1081,47,alkalinity (mM),33.2,56.0,inc
GC1081,57,alkalinity (mM),25.2,56.0,inc
GC1081,70,alkalinity (mM),34.5,56.0,inc
GC1081,85,alkalinity (mM),38.1,56.0,inc
GC1081,6,sulfate (mM),22.63,56.0,inc
GC1081,17,sulfate (mM),23.20,56.0,inc
GC1081,37,sulfate (mM),25.62,56.0,inc
GC1081,47,sulfate (mM),9.49,56.0,inc
GC1081,57,sulfate (mM),0.40,56.0,inc
GC1081,70,sulfate (mM),0.50,56.0,inc
GC1081,6,sulfide (mM),0.1,56.0,inc
GC1081,17,sulfide (mM),0.1,56.0,inc
GC1081,27,sulfide (mM),0.0,56.0,inc
GC1081,37,sulfide (mM),0.3,56.0,inc
GC1081,47,sulfide (mM),0.9,56.0,inc
GC1081,57,sulfide (mM),2.7,56.0,inc
GC1081,70,sulfide (mM),1.4,56.0,inc
GC1081,85,sulfide (mM),3.5,56.0,inc
GC1045,10,alkalinity (mM),2.6,82.0,inc
GC1045,40,alkalinity (mM),4.4,82.0,inc
GC1045,54,alkalinity (mM),10.5,82.0,inc
GC1045,110,alkalinity (mM),27.8,82.0,inc
GC1045,10,sulfate (mM),24.99,82.0,inc
GC1045,25,sulfate (mM),26.19,82.0,inc
GC1045,40,sulfate (mM),25.63,82.0,inc
GC1045,54,sulfate (mM),20.64,82.0,inc
GC1045,80,sulfate (mM),1.18,82.0,inc
GC1045,110,sulfate (mM),0.71,82.0,inc
GC1045,10,sulfide (mM),0.0,82.0,inc
GC1045,40,sulfide (mM),0.6,82.0,inc
GC1045,54,sulfide (mM),2.1,82.0,inc
GC1045,110,sulfide (mM),4.9,82.0,inc
GC1081,61,methane (mM),7.895773875,56,inc
GC1081,91,methane (mM),5.697352079,56,inc
GC1070,8,alkalinity (mM),3.3,69.0,ss
GC1070,68,alkalinity (mM),34.4,69.0,ss
GC1070,138,alkalinity (mM),30.1,69.0,ss
GC1070,208,alkalinity (mM),31.9,69.0,ss
GC1070,266,alkalinity (mM),30.2,69.0,ss
GC1070,8,sulfate (mM),27.13,69.0,ss
GC1070,38,sulfate (mM),11.86,69.0,ss
GC1070,68,sulfate (mM),0.33,69.0,ss
GC1070,138,sulfate (mM),0.86,69.0,ss
GC1070,208,sulfate (mM),0.39,69.0,ss
GC1070,8,sulfide (mM),0.0,69.0,ss
GC1070,68,sulfide (mM),8.3,69.0,ss
GC1070,138,sulfide (mM),4.3,69.0,ss
GC1070,208,sulfide (mM),2.1,69.0,ss
GC1070,266,sulfide (mM),1.1,69.0,ss
GC1048,10,alkalinity (mM),2.7,320,ss
GC1048,205,alkalinity (mM),6.5,320,ss
GC1048,265,alkalinity (mM),10.9,320,ss
GC1048,10,sulfate (mM),26.19,320,ss
GC1048,70,sulfate (mM),22.22,320,ss
GC1048,135,sulfate (mM),19.79,320,ss
GC1048,205,sulfate (mM),16.90,320,ss
GC1048,265,sulfate (mM),9.29,320,ss
GC1048,303,sulfate (mM),1.64,320,ss
GC1048,324,sulfate (mM),0.58,320,ss
GC1048,10,sulfide (mM),0.0,320,ss
GC1048,70,sulfide (mM),0.0,320,ss
GC1048,135,sulfide (mM),0.0,320,ss
GC1048,205,sulfide (mM),0.0,320,ss
GC1048,265,sulfide (mM),0.0,320,ss
GC1048,303,sulfide (mM),0.4,320,ss
GC1048,324,sulfide (mM),0.4,320,ss
GC1068,12,alkalinity (mM),2.9,108,ss
GC1068,107,alkalinity (mM),32.4,108,ss
GC1068,197,alkalinity (mM),29.1,108,ss
GC1068,255,alkalinity (mM),28.9,108,ss
GC1068,308,alkalinity (mM),24.6,108,ss
GC1068,12,sulfate (mM),27.62,108,ss
GC1068,107,sulfate (mM),0.24,108,ss
GC1068,197,sulfate (mM),0.36,108,ss
GC1068,255,sulfate (mM),0.35,108,ss
GC1068,308,sulfate (mM),0.57,108,ss
GC1068,12,sulfide (mM),0.1,108,ss
GC1068,107,sulfide (mM),7.8,108,ss
GC1068,197,sulfide (mM),5.1,108,ss
GC1068,255,sulfide (mM),3.1,108,ss
GC1068,308,sulfide (mM),0.8,108,ss
GC1069,8,alkalinity (mM),2.6,138,ss
GC1069,68,alkalinity (mM),19.4,138,ss
GC1069,137,alkalinity (mM),34.3,138,ss
GC1069,206,alkalinity (mM),37.0,138,ss
GC1069,8,sulfate (mM),27.91,138,ss
GC1069,68,sulfate (mM),14.92,138,ss
GC1069,137,sulfate (mM),0.37,138,ss
GC1069,206,sulfate (mM),0.26,138,ss
GC1069,8,sulfide (mM),0.1,138,ss
GC1069,68,sulfide (mM),5.1,138,ss
GC1069,137,sulfide (mM),8.6,138,ss
GC1069,206,sulfide (mM),8.5,138,ss
GC1068,1,methane (mM),0.02673398,108,ss
GC1068,51,methane (mM),0.311013581,108,ss
GC1068,101,methane (mM),4.847581909,108,ss
GC1068,151,methane (mM),4.164952764,108,ss
GC1068,201,methane (mM),5.555561875,108,ss
GC1068,251,methane (mM),4.860351656,108,ss
GC1068,281,methane (mM),7.50463252,108,ss
GC1069,51,methane (mM),0.346695433,137,ss
GC1069,151,methane (mM),5.283682381,137,ss
GC1069,201,methane (mM),4.627573409,137,ss
GC1069,221,methane (mM),7.363121229,137,ss
GC1070,3,methane (mM),0.020915042,67,ss
GC1070,51,methane (mM),0.144514503,67,ss
GC1070,201,methane (mM),10.12521119,67,ss
GC1070,301,methane (mM),13.41774168,67,ss
GC1048,1,methane (mM),0.00944317,320,ss
GC1048,101,methane (mM),0.003981085,320,ss
GC1048,151,methane (mM),1.158894975,320,ss
GC1048,301,methane (mM),1.01683606,320,ss
GC1048,311,methane (mM),1.610752641,320,ss